ћарка;—сылка;÷ена в доллорах;÷ена в гривн€х;√ород
Jaguar F-Pace 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718693.html;74 227 $;2 155 483 грн;’арьков
Jaguar E-Pace 2.0 AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1719704.html;69 997 $;2 032 668 грн;’арьков
Jaguar XF 2.0 AT (200 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718680.html;60 902 $;1 768 536 грн;’арьков
Jaguar E-Pace 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718506.html;67 174 $;1 950 685 грн;’арьков
Jaguar XE 2.0 AT (250 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718670.html;54 860 $;1 593 086 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718485.html;61 033 $;1 772 364 грн;’арьков
Jaguar XF 2.0D i4 MT (180 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1483189.html;43 875 $;1 274 086 грн;’арьков
Jaguar E-Pace 2.0D MT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718476.html;43 578 $;1 265 473 грн;’арьков
Jaguar XE 3.0 AT (380 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483185.html;63 620 $;1 848 286 грн;’арьков
Jaguar XE 2.0 AT (240 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1512225.html;59 693 $;1 733 446 грн;’арьков
Jaguar XF 2.0D јT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718674.html;62 220 $;1 806 816 грн;’арьков
Jaguar F-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718657.html;78 588 $;2 282 126 грн;’арьков
Jaguar XE 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483186.html;52 773 $;1 532 476 грн;’арьков
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718474.html;57 639 $;1 673 793 грн;’арьков
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718469.html;49 949 $;1 450 493 грн;’арьков
Jaguar XF 2.0D јT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601715.html;59 034 $;1 714 306 грн;’арьков
Jaguar XF 2.0D i4 јT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1641674.html;54 311 $;1 577 136 грн;’арьков
Jaguar XF 3.0D јT (300 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718676.html;72 766 $;2 113 056 грн;’арьков
Jaguar XE 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483186.html;52 773 $;1 532 476 грн;’арьков
Jaguar E-Pace 2.0D MT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718465.html;41 205 $;1 196 569 грн;’арьков
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1601700.html;67 603 $;1 963 126 грн;’арьков
Jaguar XF 2.0 AT (250 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718684.html;64 856 $;1 883 376 грн;’арьков
Jaguar F-Pace 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718691.html;64 219 $;1 864 874 грн;’арьков
Jaguar XE 3.0 AT (380 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483185.html;63 620 $;1 848 286 грн;’арьков
Jaguar XE 2.0 AT (240 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1512225.html;59 693 $;1 733 446 грн;’арьков
Jaguar F-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718657.html;78 588 $;2 282 126 грн;’арьков
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718474.html;57 639 $;1 673 793 грн;’арьков
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718469.html;49 949 $;1 450 493 грн;’арьков
Jaguar XF 2.0D јT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601715.html;59 034 $;1 714 306 грн;’арьков
Jaguar XF 2.0 AT (250 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718682.html;55 079 $;1 599 466 грн;’арьков
Jaguar XF 2.0D i4 јT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1641674.html;54 311 $;1 577 136 грн;’арьков
